Numero|DataOcorrencia|Natureza|EstadoOcorrencia|Distrito|Concelho|Freguesia|Localidade|Latitude|Longitude|NumeroMeiosTerrestresEnvolvidos|NumeroOperacionaisTerrestresEnvolvidos|NumeroMeiosAereosEnvolvidos|NumeroOperacionaisAereosEnvolvidos
2020040015393|04/07/2020 13:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|BRAGANÇA|CARRAZEDA DE ANSIÃES|Carrazeda de Ansiães|CARRAZEDA DE ANCIÃES|41,241211|-7,301682|1|4|0|0
2020040015395|04/07/2020 13:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|BRAGANÇA|VINHAIS|Vinhais|VINHAIS|41,831974|-7,00037|1|3|0|0
2020170014356|04/07/2020 13:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Despacho de 1º Alerta|VILA REAL|RIBEIRA DE PENA|Canedo|CANEDO|41,620796|-7,739581|1|4|0|0
2020040015399|04/07/2020 13:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|BRAGANÇA|VILA FLOR|Candoso e Carvalho de Egas|CANDOSO|41,281111|-7,220011|1|4|0|0
2020040015398|04/07/2020 13:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|BRAGANÇA|VINHAIS|Vinhais|VINHAIS|41,831974|-7,00037|1|3|0|0
2020120012212|04/07/2020 13:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|PORTALEGRE|PORTALEGRE|Reguengo e São Julião|REGUENGO|39,297577|-7,400464|1|3|0|0
2020070012589|04/07/2020 12:58:00|Riscos Mistos / Incêndios Rurais / Agrícola|Conclusão|ÉVORA|REGUENGOS DE MONSARAZ|Reguengos de Monsaraz|REGUENGOS DE MONSARAZ|38,418685|-7,546918|1|2|0|0
2020150052243|04/07/2020 12:56:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Em Resolução|SETÚBAL|SESIMBRA|Sesimbra (Castelo)|SESIMBRA|38,452682|-9,106828|1|2|0|0
2020120012204|04/07/2020 12:55:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|PORTALEGRE|NISA|Espírito Santo, Nossa Senhora da Graça e São Simão|NISA|39,523143|-7,648141|1|4|0|0
2020130097327|04/07/2020 12:54:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Despacho de 1º Alerta|PORTO|GONDOMAR|Fânzeres e São Pedro da Cova|SÃO PEDRO DA COVA|41,155366083928|-8,50245202643937|1|2|0|0
